Comment,Designator,Footprint,LCSC,Quantity
0Ω,"R56,R57,R58,R59",R_0603,C21189,4
1.5kΩ,"R33,R34,R35,R36,R37,R38,R39,R40",R_0603,C22843,8
100kΩ,R41,R_0603,C25803,1
100nF,"C36,C37,C42",C_0603,C14663,3
10kΩ,"R11,R12,R17,R18,R25,R26,R29,R3,R30,R31,R32,R4,R55,R61",R_0603,C25804,14
10nF,"C28,C29,C30,C31",C_0603,C57112,4
10uF,"C1,C13,C19,C2,C25,C32,C33,C34,C35,C41,C7",C_1206,C13585,11
10Ω,"R1,R10,R15,R16,R2,R23,R24,R50,R9",R_0603,C22859,9
1kΩ,R44,R_0603,C21190,1
1uF,"C11,C17,C23,C3,C40",C_0603,C15849,5
2.2uF,"C14,C15,C20,C21,C26,C27,C8,C9",C_1206,C50254,8
200kΩ,R43,R_0603,C25811,1
20pF,"C38,C39",C_0402,C1554,2
220Ω,"R60,R62,R63",R_0603,C22962,3
2Ω,"R13,R14,R21,R22,R27,R28,R5,R6",R_0603,C22977,8
33Ω,"R47,R48,R49,R51,R52,R53,R54",R_0603,C23140,7
5.1kΩ,"R45,R46",R_0603,C23186,2
6.2kΩ,R42,R_0603,C4260,1
"Connector, USB-TYPE-C-16P",J2,TYPE-C-SMD_HX-TYPE-C-16PIN,C2927039,1
HT7533,U2,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,C14289,1
SK1010C,D2,D_SMC,C18199193,1
SRV05-4_C7420376,"D5,D6,D7,D8",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL-1,C7420376,4
White,"D1,D3,D4",D_0603,C2290,3
X50328MSB2GI,X1,CRYSTAL-SMD_L5.0-W3.2,C115962,1
~,FB1,FB_0603,C1002,1
100uF 50V C311622,C24,CP_Elec_6.3x7.7,,1
100uF 50V C311622,C18,CP_Elec_6.3x7.7,,1
100uF 50V C311622,C12,CP_Elec_6.3x7.7,,1
100uF 50V C311622,C6,CP_Elec_6.3x7.7,,1
2204061-2 Edge Connector,P1,edge,,1
SM06B-SRSS-TBLFSN,J4,CONN_SM06B-SRSS-TB_JST,,1
691256610006,J3,691256610006,,1
TBL002A-350-10GY-2GY,J1,CUI_TBL002A-350-10GY-2GY,,1
CH221K,U3,SOT95P280X120-6N,,1
CH32M030C8U3,U1,QFN-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm,,1
0.005Ohm C2994643,R20,R_2512_6332Metric,,1
0.005Ohm C2994643,R19,R_2512_6332Metric,,1
0.005Ohm C2994643,R8,R_2512_6332Metric,,1
0.005Ohm C2994643,R7,R_2512_6332Metric,,1
BSC019N06NSATMA1,Q8,Infineon_PG-TDSON-8_6.15x5.15mm,,1
BSC019N06NSATMA1,Q7,Infineon_PG-TDSON-8_6.15x5.15mm,,1
BSC019N06NSATMA1,Q6,Infineon_PG-TDSON-8_6.15x5.15mm,,1
BSC019N06NSATMA1,Q5,Infineon_PG-TDSON-8_6.15x5.15mm,,1
BSC019N06NSATMA1,Q4,Infineon_PG-TDSON-8_6.15x5.15mm,,1
BSC019N06NSATMA1,Q3,Infineon_PG-TDSON-8_6.15x5.15mm,,1
BSC019N06NSATMA1,Q2,Infineon_PG-TDSON-8_6.15x5.15mm,,1
BSC019N06NSATMA1,Q1,Infineon_PG-TDSON-8_6.15x5.15mm,,1
